eye: eye, face, skin, heart, throat
stop: stop, keep, destroy, forget, correct
go in: go in, go away, go, goose, go for a walk
enter: enter, choose, visit, destroy, receive
come: come, come back, alone, once, again
arrive: arrive, move, assemble, alone, notice
come back: come back, come, go away, look at, take off
stay: stay, keep, feel, always, still
wait: wait, wait for, again, move, hold
wait for: wait for, wait, afterwards, look for, look at
seek: seek, bring, hold, destroy, give
look for: look for, look at, bring up, like, pick up
find: find, choose, prepare, destroy, make
try: try, choose, forget, remember, prepare
prepare: prepare, assemble, make, choose, produce
love: love, alone, shine, like, leave
like: like, remember, forget, sometimes, why
laugh: laugh, laughter, aunt, leash, alone
weep: weep, lick, alone, again, shoot
grumble: grumble, grasp, grind, grain, jolt
be annoyed: be annoyed, be noisy, be alive, be afraid, be born
be afraid: be afraid, be alive, be annoyed, be afraid of, be noisy
be afraid of: be afraid of, be afraid, be alive, be annoyed, be noisy
flee: flee, familiar, flock, fry, famous
escape: escape, move, assemble, destroy, alone
see: see, like, give, remember, leave
look at: look at, look for, bring up, like, remember
watch: watch, meet, remember, stream, visit
hear: hear, remember, meet, bring, give
listen: listen, read, alone, hear, stream
taste: taste, tinkle, tumble, towel, tremble
smell: smell, smoke, jolt, mistake, grasp
feel: feel, bring, appear, alone, again
seem: seem, seize, sew, separate, seesaw
show: show, move, hide, assemble, make
be cold: be cold, be born, be noisy, be alive, be afraid
do: do, like, why, give, can
can: can, why, like, how, that
want: want, bring, like, forget, only
start: start, stop, begin, move, correct
finish: finish, assemble, fill, decorate, prepare
succeed: succeed, sweep, speak, suddenly, sick
turn out: turn out, turn around, turn, bring up, take off
close: close, hide, leave, closed, like
put: put, put on, bring, hold, forget
lay: lay, hold, bring, lick, way
touch: touch, wrap, move, assemble, stream
connect: connect, assemble, move, choose, protect
hang up: hang up, hang, tie up, take off, pick up
pick up: pick up, pick, take off, bring up, look for
leave: leave, give, like, forget, bring
lose: lose, give, leave, forget, like
make: make, prepare, move, assemble, choose
produce: produce, receive, prepare, increase, assemble
build: build, assemble, make, prepare, move
mend: mend, mush, midge, merry, melt
improve: improve, increase, produce, choose, like
alter: alter, destroy, assemble, choose, change
dig: dig, hunt, thing, grab, pick
bend: bend, budge, broom, bake, bath
spin: spin, flow, skin, wave, hole
turn: turn, turn around, turn out, put, hold
turn around: turn around, turn out, turn, take off, bring up
raise: raise, move, choose, make, increase
lift: lift, track, assemble, swing, finish
seize: seize, separate, seesaw, seem, sew
hold: hold, bring, forget, put, seek
press: press, guide, staff, hunt, track
push: push, pull, move, wrap, draw
scrape: scrape, move, assemble, wrap, make
lick: lick, pick, shoot, hold, forget
bite: bite, shine, alone, rise, love
tear off: tear off, tear, teach, tie up, take off
cut off: cut off, cut, take off, pick up, tie up
tie: tie, tie up, tone, bite, pipe
break: break, hold, destroy, shoot, move
knock: knock, knit, knot, shove, kick
hit: hit, shoot, pick, hold, grab
glue: glue, assemble, wrap, slice, wipe
rub: rub, grab, lick, pick, hold
spread: spread, bring, produce, assemble, hold
grind: grind, grasp, grain, grumble, jolt
cut: cut, cut off, pick, fill, put
jolt: jolt, tinkle, knot, budge, kiss
shake: shake, shine, bite, rise, wipe
pour: pour, bring, like, give, meet
fill: fill, finish, wrap, prepare, assemble
wrap: wrap, assemble, move, prepare, slice
carry: carry, bring, hold, take, produce
drag: drag, grab, wrap, track, move
pull: pull, wrap, put, move, fill
keep: keep, bring, hold, leave, forget
throw: throw, wrap, bring, move, assemble
catch: catch, grab, pick, hold, stream
grab: grab, bring, wrap, hold, pick
hide: hide, move, make, choose, change
divide: divide, move, assemble, prepare, choose
send: send, receive, bring, move, choose
bring: bring, give, bring up, hold, seek
add: add, move, make, prepare, choose
get: get, get dressed, get up, get tired, choose
receive: receive, give, produce, choose, make
take: take, give, take off, bring, leave
choose: choose, prepare, assemble, make, give
select: select, choose, assemble, move, notice
preserve: preserve, make, move, destroy, assemble
hinder: hinder, hither, happiness, happen, hurry
spoil: spoil, spoon, spade, spider, spine
destroy: destroy, protect, assemble, forget, choose
give: give, bring, take, receive, leave
promise: promise, assemble, notice, move, guide
praise: praise, alone, grasp, believe, urge
kiss: kiss, knot, kettle, knee, jolt
rock: rock, stone, fish, forest, track
wake: wake, wake up, rise, pace, alone
guide: guide, assemble, notice, piece, move
teach: teach, tear, seize, believe, give
instruct: instruct, in vain, between, protect, understand
bring up: bring up, bring, look for, take off, look at
lead: lead, gold, silver, produce, iron
urge: urge, alone, leave, give, like
let: let, select, see, that, sometimes
invite: invite, promise, guide, move, notice
unite: unite, pace, teach, alone, urge
visit: visit, meet, choose, remember, leave
meet: meet, visit, remember, like, bring
assemble: assemble, prepare, move, gather, wrap
play: play, stream, shoot, visit, assemble
sing: sing, bring, hold, pick, know
dance: dance, shine, love, guide, space
separate: separate, seize, seesaw, seem, sew
rescue: rescue, guide, assemble, escape, move
guard: guard, protect, guide, friend, assemble
protect: protect, destroy, bring, forget, choose
defend: defend, destroy, correct, protect, divide
brawl: brawl, budge, bend, broom, bake
shoot: shoot, hold, hunt, pick, fight
win: win, grab, run, stream, choose
annoy: annoy, bother, tomorrow, believe, mistake
beat: beat, fight, shoot, hit, kick
kick: kick, lick, shoot, pick, bring
sting: sting, stingy, stupid, stir, stomach
shove: shove, shout, shovel, shoe, chime
steal: steal, ache, assemble, move, promise
disturb: disturb, grasp, destroy, protect, measure
bother: bother, boil, alone, annoy, roar
conceal: conceal, convey, conclusion, seize, seesaw
deceive: deceive, dear, deaf, decrease, seize
cheat: cheat, cheek, ache, bother, seize
kill: kill, destroy, shoot, bring, guard
dwell: dwell, dive, dishes, dirt, diligent
gather: gather, assemble, bring, choose, prepare
pick: pick, pick up, choose, hold, lick
hunt: hunt, shoot, rush, pace, pick
herd: herd, calm, noose, gentle, bosom
tie up: tie up, tie, take off, hang up, pick up
feed: feed, seed, food, track, assemble
chop: chop, pick, cook, lick, cut
ripen: ripen, rinse, bother, urge, shove
cook: cook, hunt, pick, lick, chop
bake: bake, budge, butter, bend, brawl
fry: fry, flock, frost, familiar, fog
stir: stir, sting, stupid, stove, stingy
knit: knit, knock, knot, swim, kiss
sew: sew, seem, seize, separate, seesaw
dye: dye, dive, dirt, dwell, dishes
wash: wash, wish, pick, dish, finish
wipe: wipe, move, assemble, make, wrap
rinse: rinse, shine, ripen, wash, shove
sweep: sweep, succeed, sack, sick, sleigh
bath: bath, broom, bend, budge, bark
take off: take off, take, bring up, put on, pick up
put on: put on, put, take off, bring up, look for
get dressed: get dressed, get up, get tired, get, choose
decorate: decorate, beautiful, assemble, finish, cool
say: say, know, bring, remember, again
speak: speak, succeed, sweep, sick, suddenly
chat: chat, dash, friend, assemble, guide
ask: ask, meet, remember, bring, seek
request: request, promise, message, handle, move
tell: tell, bring, give, choose, remember
convey: convey, conclusion, conceal, bring, hold
brag: brag, bracket, grasp, shove, lair
translate: translate, assemble, move, guide, prepare
think: think, know, everything, ahead, bring
believe: believe, belly, alone, urge, remember
notice: notice, guide, promise, meaning, reason
recognize: recognize, produce, like, protect, choose
grasp: grasp, grind, grumble, grain, climb
understand: understand, under, through, between, recognize
learn: learn, choose, assemble, gather, know
know: know, remember, forget, bring, seek
remember: remember, forget, like, leave, know
forget: forget, remember, like, only, bring
measure: measure, assemble, produce, increase, destroy
calculate: calculate, increase, correct, measure, prepare
read: read, stream, move, write, assemble
draw: draw, assemble, wrap, move, destroy
write: write, move, make, read, prepare
own: own, choose, only, protect, bring
buy: buy, cheap, sell, shop, visit
sell: sell, buy, bring, protect, hold
pay for: pay for, pay, sell, look for, bring up
pay: pay, pay for, bring, hold, give
rule: rule, measure, assemble, stream, again
endure: endure, end, alone, destroy, assemble
