eye: face, ura, asta, animal, lung
run: merge, aci, crud, plan, drag
jump: drag, face, chip, apus, aci
climb: fluture, zice, slab, plin, smulge
seesaw: se usca, muchie, ajunge, putere, atinge
creep: creier, crede, creangă, creștet, ureche
swim: golf, apus, zice, fluture, umed
dive: dinte, dori, dansa, dibaci, dormi
drive: face, aci, apus, ura, asta
go: ura, asta, aci, chema, unu
go away: doar, muchie, putere, soare, atinge
depart: departe, apus, umed, plan, bate
stop: face, doctor, cap, apus, chip
go in: doar, putere, atinge, asta, poseda
enter: apus, duce, aci, doctor, face
come: bate, duce, geme, asta, apus
arrive: strica, putere, departe, curge, frunte
come back: soare, muchie, putere, atinge, departe
stay: apus, mare, umed, nor, duce
wait: merge, face, aci, drag, profit
wait for: buton, putere, doar, atinge, funie
seek: apus, umed, duce, doctor, aci
look for: buton, atinge, muchie, putere, soare
find: merge, aci, final, apus, duce
try: aci, merge, face, apus, cale
prepare: merge, aci, face, plan, duce
love: face, doctor, asta, ura, muchie
like: duce, atinge, buton, face, putere
laugh: laț, asta, ura, chema, da
weep: ton, gard, bate, duce, apus
grumble: gras, grâu, umblet, fluture, frunte
be annoyed: bea, muchie, atinge, duce, soare
be afraid: bea, muchie, soare, soț, atinge
be afraid of: muchie, atinge, bea, soare, poseda
flee: fugi, fier, fura, fuma, foc
escape: face, merge, aci, apus, ura
see: duce, apus, asta, ura, bate
look at: buton, soare, putere, atinge, muchie
watch: doctor, apus, umed, chip, ura
hear: apus, nor, duce, dar, doctor
listen: doctor, apus, plan, face, merge
taste: tuna, timp, tare, toca, tremura
smell: smulge, muchie, spate, putere, zice
feel: fel, duce, nor, apus, face
seem: se face, se usca, se destinde, se scurge, se bate
show: merge, aci, final, drag, face
be cold: bea, muchie, duce, atinge, poseda
do: doar, duce, asta, ura, aci
can: duce, nor, doar, an, buton
want: apus, duce, buton, putere, ton
start: merge, aci, opt, face, final
finish: face, apus, aci, chip, cap
succeed: sanie, surd, sosi, suna, sare
turn out: putere, muchie, buton, atinge, poseda
close: face, final, merge, duce, doctor
put: putere, buton, apus, puternic, duce
lay: apus, umed, ton, mare, duce
touch: face, merge, drag, aci, chip
connect: merge, aci, apus, opt, arc
hang up: putere, buton, singur, muchie, linge
pick up: putere, atinge, buton, muchie, doar
leave: apus, duce, face, doctor, putere
lose: duce, face, apus, putere, bate
make: merge, aci, face, putere, duce
produce: duce, atinge, poseda, face, ura
build: merge, aci, crud, plan, face
mend: munte, muri, minte, murdar, muncitor
improve: imagine, putere, atinge, urca, muchie
alter: aci, apus, crud, cap, plan
dig: apus, umed, mult, jos, opt
bend: batic, biban, bunic, basm, bun
spin: spinare, pin, orb, drag, cap
turn: face, drag, ton, duce, cap
turn around: putere, buton, atinge, muchie, poseda
raise: merge, aci, final, duce, face
lift: chip, aci, apus, face, cap
seize: se face, se usca, se scurge, se destinde, se rupe
hold: duce, apus, putere, cap, ton
press: apus, face, umed, cap, chip
push: merge, drag, crud, face, aci
scrape: scutura, scump, ascunde, merge, aci
lick: apus, ton, cale, umed, jos
bite: face, bate, duce, ura, asta
tear off: piele, atinge, face larmă, putere, pieptene
cut off: cutie, putere, atinge, muchie, buton
tie: face, mie, ura, bate, asta
break: face, drag, cap, profit, aci
knock: apus, joc, gust, zice, muchie
hit: apus, drag, chip, cap, profit
glue: slab, trimite, zice, aci, piele
rub: umed, jos, gard, ton, cap
spread: face, duce, profit, cap, putere
grind: gras, grâu, slab, fluture, frunte
cut: cutie, cap, drag, chip, face
jolt: joc, jilav, zice, zvelt, joi
shake: face, bate, asta, chip, ura
pour: duce, ou, nou, ton, bate
fill: face, pin, cap, aci, drag
wrap: merge, aci, face, cap, drag
carry: face, apus, duce, chip, aci
drag: drag, face, cap, chip, orb
pull: drag, aci, face, putere, merge
keep: face, apus, doctor, duce, chip
throw: face, drag, merge, aci, profit
catch: apus, aci, drag, face, chip
grab: apus, drag, cap, aci, umed
hide: merge, aci, face, pin, drag
divide: merge, face, duce, aci, putere
send: merge, aci, apus, drag, face
bring: duce, apus, putere, umed, muchie
add: merge, aci, crud, final, opt
get: merge, aci, opt, final, face
receive: duce, aci, apus, atinge, face
take: duce, putere, face, asta, apus
choose: aci, duce, face, putere, apus
select: selecta, aci, apus, merge, final
preserve: merge, aci, face, ura, asta
hinder: haine, harnic, biban, gustos, zice
spoil: spate, spori, spune, spumă, smulge
destroy: duce, aci, apus, face, putere
give: duce, putere, face, apus, muchie
promise: aci, face, merge, ura, asta
praise: prinde, praf, prin, pricină, prânz
kiss: zice, gustos, joc, zvelt, sanie
rock: chip, animal, face, drag, cap
wake: face, apus, bate, asta, ura
guide: face, aci, asta, apus, ura
teach: ceai, putere, zice, ajunge, apus
instruct: intra, atinge, inimă, poseda, doar
bring up: putere, atinge, muchie, buton, poseda
lead: face, chip, animal, duce, solid
urge: duce, apus, atinge, ura, face
let: vară, val, final, importuna, și
invite: merge, aci, face, apus, ura
unite: unghie, urca, apus, ceai, asta
visit: apus, umed, asta, unu, doctor
meet: apus, doctor, umed, elan, asta
assemble: aci, merge, apus, face, putere
play: apus, doctor, drag, umed, face
sing: singur, apus, umed, duce, cum
dance: face, apus, unu, ura, asta
separate: se face, se usca, atinge, putere, se topi
rescue: respira, apus, corect, aci, conserva
guard: apus, gard, umed, cap, doctor
protect: duce, apus, aci, putere, atinge
defend: doctor, aci, animal, final, doar
brawl: batic, biban, bunic, basm, bani
shoot: apus, face, chip, umed, ton
win: pin, plan, aci, apus, cap
annoy: martie, ajunge, muchie, apus, achita
beat: chip, apus, cap, face, sat
kick: chip, apus, drag, cale, jos
sting: stingheri, stomac, stâng, stofă, sticlă
shove: putere, muchie, zice, ajunge, spate
steal: stea, foame, chema, geme, dinte
disturb: distruge, putere, corect, atinge, obscur
bother: boabă, soare, boală, foame, muchie
conceal: conduce, conversa, construi, traduce, aduce
deceive: deget, deja, de vale, de ce, deosebit
cheat: piele, ceai, putere, eroare, muchie
kill: apus, chip, doctor, drag, cap
dwell: dinte, dori, dansa, dormi, dibaci
gather: apus, aci, face, unu, plan
pick: chip, cap, apus, drag, cale
hunt: apus, cale, umed, chip, asta
herd: muchie, urca, robust, atinge, putere
tie up: piele, putere, atinge, muchie, chestie
feed: chip, face, drag, profit, cap
chop: chip, apus, cap, umed, jos
ripen: atinge, ceai, putere, gri, zice
cook: apus, umed, doctor, jos, chip
bake: batic, biban, bani, bunic, basm
fry: fier, fugi, foc, fost, fum
stir: stâng, stomac, sticlă, stofă, stingheri
knit: golf, popor, gustos, cutie, joc
sew: se face, se usca, seară, se bate, se scurge
dye: dinte, dori, dansa, durea, dibaci
wash: ton, cap, chip, apus, umed
wipe: face, merge, aci, chip, trimite
rinse: piele, muchie, putere, linie, aprinde
sweep: sanie, surd, suna, sosi, sare
bath: batic, biban, bunic, bani, bun
take off: putere, atinge, muchie, poseda, doar
put on: putere, puternic, buton, atinge, putrezi
get dressed: putere, muchie, funie, buton, doar
decorate: face, apus, asta, doctor, aci
say: apus, cale, umed, buton, nor
speak: sanie, sosi, suna, surd, sare
chat: apus, crud, aci, chip, sat
ask: apus, umed, doctor, jos, cale
request: merge, aci, crud, opt, sec
tell: apus, aci, doctor, drag, umed
convey: conduce, conversa, construi, putere, atinge
brag: brad, frunte, frate, fluture, batic
translate: merge, aci, chema, apus, crud
think: apus, unu, duce, profit, umed
believe: muchie, ameliora, martie, atinge, putere
notice: aci, apus, face, bate, plan
recognize: atinge, poseda, duce, putere, buton
grasp: gras, grâu, fluture, apus, gust
understand: atinge, poseda, putere, duce, muchie
learn: apus, aci, plan, unu, asta
know: apus, duce, nor, umed, doctor
remember: apus, doctor, buton, face, cale
forget: apus, buton, putere, duce, doctor
measure: duce, face, plan, aci, apus
calculate: merge, aci, face, final, duce
read: merge, aci, apus, final, face
draw: merge, face, drag, aci, cap
write: merge, aci, face, final, crud
own: duce, apus, aci, umed, face
buy: asta, apus, doctor, ura, elan
sell: apus, duce, putere, umed, atinge
pay for: atinge, apus, doar, putere, buton
pay: profit, apus, umed, cap, duce
rule: aci, plan, duce, apus, merge
endure: muchie, putere, atinge, corect, poseda
