eye: pie, oca, asta, cola, gota
groan: rojo, robar, irse, zorro, gancho
tremble: tintinear, toser, tumba, tía, taza
be alive: beber, once, muchacho, mentira, oveja
be born: beber, once, muchacha, muchacho, orilla
breathe: bello, brazo, barrer, bucear, bajo
drink: meter, ayer, oca, irse, pie
eat: ayer, irse, eso, oca, once
swallow: hornear, revolver, menear, zorro, ayer
get tired: quitarse, muchacho, once, sentarse, idea
fall asleep: muchacho, menear, bandada, sentarse, allí
wake up: muchacho, once, ayer, cueva, oveja
get up: once, sentarse, muchacho, meter, allí
relax: fluir, prometer, revolver, llover, pluma
fall ill: menear, muchacho, vestirse, sentarse, ayer
be ill: beber, once, muchacha, muchacho, ave
ache: irse, oca, bote, ayer, asta
cough: coger, cruz, cuna, cavar, cima
recover: once, meter, idea, eso, no
die: diez, pie, bote, gota, irse
perish: perca, percha, perro, perder, ayer
move: idea, meter, oca, once, pie
budge: bello, baya, bajo, bota, bajar
stand up: muchacho, bandada, sentarse, barca, menear
sit down: sitio, sentarse, ayer, muchacho, menear
tumble: tumba, taza, tío, tonto, tubo
pace: ayer, irse, oca, asta, eso
go for a walk: a menudo, orilla, muchacho, toalla, a solo
rush: ayer, irse, eso, meter, oca
hurry: hilo, hongo, hoy, hambre, hombre
dash: meter, ayer, oca, irse, asar
run: todo, meter, oca, irse, idea
jump: meter, ayer, oca, irse, once
climb: clase, clavo, fluir, zorro, revolver
seesaw: seis, separarse, irse, ensueño, poseer
creep: crecer, creer, prometer, ayer, revolver
swim: revolver, zorro, menear, padres, irse
dive: diente, dios, doler, dolor, diligente
drive: meter, idea, oca, pie, once
go: oca, oso, asta, todo, rico
go away: hielo, muchacho, oca, idea, rico
depart: ayer, irse, once, oca, eso
stop: no, quitarse, meter, once, eso
go in: toalla, idea, sentido, oca, asta
enter: meter, ayer, once, verter, irse
come: once, venir, ave, eso, ayer
arrive: arrancar, sentir, sentarse, declive, lleno
come back: once, sentarse, venir, allí, a menudo
stay: once, eso, irse, ayer, rey
wait: once, meter, ayer, eso, vara
wait for: once, sentarse, recordar, sentir, eso
seek: once, ayer, irse, eso, meter
look for: once, andar, muchacho, orilla, allí
find: once, idea, final, no, meter
try: once, eso, meter, ayer, error
prepare: oca, idea, meter, once, final
love: once, pie, oca, grave, ave
like: once, eso, ayer, idea, no
laugh: hermana, oca, gota, maestro, oveja
weep: ayer, once, oler, irse, verter
grumble: gritar, grasa, grano, gris, grulla
be annoyed: beber, once, muchacho, mentira, sentarse
be afraid: beber, once, muchacho, muchacha, orilla
be afraid of: orilla, a menudo, muchacho, once, beber
flee: foso, fresco, fregar, frente, fino
escape: meter, oca, idea, once, pie
see: once, eso, idea, oca, irse
look at: once, ayer, muchacho, sentarse, allí
watch: ayer, once, eso, irse, imagen
hear: once, ayer, irse, eso, dar
listen: abajo, once, meter, oca, ayer
taste: tapa, taza, tumba, tela, tubo
smell: humear, ayer, revolver, prometer, hurtar
feel: once, eso, ayer, irse, idea
seem: seis, separarse, seco, señal, irse
show: final, todo, meter, idea, oca
be cold: beber, once, muchacho, muchacha, orilla
do: doce, no, idea, eso, oca
can: once, eso, no, oler, idea
want: once, ayer, eso, idea, oca
start: todo, tabla, error, final, meter
finish: meter, idea, once, ayer, oca
succeed: sopa, sauce, silla, saber, sensato
turn out: sentarse, once, muchacho, sentir, vestirse
close: once, idea, oca, final, meter
put: once, ayer, meter, verter, eso
lay: ayer, eso, once, irse, rey
touch: meter, idea, eso, todo, oca
connect: idea, meter, oca, eso, asta
hang up: sentarse, batirse, vestirse, ayer, romper
pick up: ayer, sentarse, muchacho, romper, hornear
leave: once, oca, ayer, eso, idea
lose: once, ayer, eso, irse, meter
make: idea, oca, once, no, meter
produce: once, eso, idea, oca, meter
build: idea, todo, meter, oca, asta
mend: morder, mecer, madera, manta, muelle
improve: noticia, once, soporte, eso, sentido
alter: meter, verter, ayer, eso, once
dig: ayer, irse, meter, atar, oler
bend: bello, baya, bajo, bajar, bota
spin: meter, pie, cola, eso, sol
turn: meter, once, eso, ayer, verter
turn around: once, sentarse, muchacho, sentir, prometer
raise: final, once, no, vara, meter
lift: meter, ayer, idea, eso, asta
seize: seis, separarse, seco, irse, semana
hold: once, ayer, eso, meter, irse
press: irse, oca, ayer, meter, eso
push: todo, meter, final, tabla, pie
scrape: ascender, oscuro, oscilar, secarse, escoba
lick: ayer, irse, once, oler, meter
bite: pie, once, bote, ave, irse
tear off: techo, teñir, hornear, hurtar, barca
cut off: costado, multicolor, longitud, meter, sentarse
tie: pie, meter, asta, irse, oca
break: meter, once, eso, ayer, pie
knock: menear, hornear, hurtar, irse, zorro
hit: meter, ayer, eso, once, irse
glue: pieza, pie, pluma, cueva, multicolor
rub: ayer, irse, oler, pez, eso
spread: meter, ayer, once, eso, oca
grind: gritar, grano, grasa, gris, grande
cut: meter, ayer, pie, eso, multicolor
jolt: jefe, juntos, jactarse, joven, juego
shake: pie, oca, irse, ayer, asta
pour: venir, ayer, entre, once, eso
fill: meter, once, ayer, oca, verter
wrap: meter, idea, pie, oca, cola
carry: meter, ayer, once, eso, idea
drag: meter, ayer, pie, eso, oca
pull: meter, once, ayer, pie, oca
keep: once, eso, no, ayer, meter
throw: meter, once, eso, idea, pie
catch: once, ayer, meter, eso, oca
grab: ayer, meter, once, oca, irse
hide: oca, idea, meter, no, todo
divide: meter, once, oca, idea, pie
send: meter, once, no, eso, oca
bring: once, ayer, eso, irse, oca
add: final, todo, meter, no, idea
get: no, once, final, meter, idea
receive: once, oca, idea, no, eso
take: once, no, eso, oca, ave
choose: once, idea, oca, eso, meter
select: vara, eso, oca, idea, final
preserve: idea, oca, tabla, no, cola
hinder: hurtar, hongo, hilo, hambre, hombre
spoil: revolver, ayer, impeler, polvo, ganas
destroy: once, meter, ayer, eso, idea
give: once, eso, no, oca, ave
promise: idea, oca, todo, once, pie
praise: prado, pradera, pronto, principiar, irse
kiss: zorro, ganas, hurtar, jefe, juntos
rock: ayer, animal, meter, placer, red
wake: oca, irse, ayer, pie, asta
guide: oca, idea, meter, asta, irse
teach: techo, irse, teñir, ayuda, oveja
instruct: iniciar, invierno, sentido, oca, toalla
bring up: once, sentarse, muchacho, sentir, poseer
lead: meter, eso, animal, placer, idea
urge: once, oca, ayer, irse, ave
let: variar, vara, eso, final, onda
invite: oca, idea, once, todo, cola
unite: unir, un poco, irse, eso, reunirse
visit: ayer, oca, irse, once, eso
meet: ayer, once, eso, irse, rey
assemble: meter, idea, oca, ayer, irse
play: ayer, meter, irse, eso, once
sing: ayer, once, eso, irse, meter
dance: irse, oca, pie, arena, asta
separate: seis, seco, separarse, irse, semana
rescue: respirar, cueva, oca, aceite, resplandecer
guard: guardar, eso, ayer, meter, once
protect: once, oca, meter, eso, ayer
defend: defender, eso, animal, no, final
brawl: bello, bajar, bajo, baya, bota
shoot: ayer, once, eso, irse, meter
win: irse, meter, oca, eso, ayer
annoy: menear, irse, jactarse, humear, ayer
beat: ayer, meter, eso, irse, pie
kick: ayer, eso, meter, rey, irse
sting: menear, revolver, jactarse, jefe, zorro
shove: jactarse, menear, irse, hurtar, ayer
steal: irse, oca, asar, jefe, trazo
disturb: distinto, distancia, sentir, extremo, prometer
bother: robar, irse, menear, ayer, rojo
conceal: concebir, conseguir, conducir, congregarse, conmover
deceive: de nuevo, dejar, decrecer, destruir, de repente
cheat: cueva, irse, jefe, bigote, oveja
kill: eso, meter, ayer, once, irse
dwell: diente, doler, dolor, dios, dormir
gather: oca, ayer, meter, once, idea
pick: ayer, meter, eso, once, irse
hunt: ayer, irse, oca, eso, asta
herd: herida, hermana, hermano, hermoso, menear
tie up: vestirse, batirse, pie, cueva, barca
feed: meter, ayer, oca, pie, animal
chop: ayer, meter, irse, eso, oca
ripen: irse, lonja, menear, oler, oca
cook: ayer, irse, oca, eso, once
bake: bello, baya, bajo, bota, bajar
fry: fresco, fuego, foso, fregar, fino
stir: madurar, revolver, irse, sentir, menear
knit: menear, zorro, irse, ganas, madurar
sew: seis, seco, irse, semana, separarse
dye: diente, dios, dolor, doler, deseo
wash: ayer, meter, irse, once, eso
wipe: pie, meter, oca, idea, cola
rinse: tapadera, gancho, lonja, irse, madurar
sweep: sauce, sopa, saber, silla, sensato
bath: bello, baya, boca, bajo, bota
take off: once, sentarse, muchacho, sentido, toalla
put on: sentarse, sentir, sentido, once, prometer
get dressed: once, muchacho, idea, sentarse, ayer
decorate: idea, once, meter, ayer, oca
say: ayer, once, irse, asar, eso
speak: sauce, sopa, silla, saber, sensato
chat: meter, ayer, oca, todo, irse
ask: ayer, irse, eso, oca, once
request: todo, error, tabla, idea, oca
tell: once, eso, oca, ayer, idea
convey: conducir, conmover, concebir, conversación, conversar
brag: brillar, tragar, llover, barrer, lamer
translate: todo, oca, cola, tabla, idea
think: eso, idea, once, meter, ayer
believe: adelante, helada, ayer, irse, polvo
notice: once, idea, ayer, oca, meter
recognize: sentido, sentir, once, sentarse, mentira
grasp: gritar, grasa, grueso, grano, gris
understand: once, muchacho, allí, ayer, noticia
learn: idea, oca, eso, meter, ayer
know: once, ayer, eso, irse, meter
remember: once, ayer, eso, irse, oca
forget: once, ayer, eso, irse, no
measure: meter, once, eso, idea, ayer
calculate: correcto, meter, tabla, idea, no
read: idea, once, meter, ayer, eso
draw: meter, final, ayer, oca, once
write: idea, todo, once, oca, meter
own: eso, idea, once, oca, no
buy: ayer, asta, onda, idea, oca
sell: ayer, once, meter, eso, idea
pay for: eso, orilla, ayer, once, andar
pay: ayer, eso, meter, irse, once
rule: meter, idea, eso, once, ayer
endure: menear, muchacho, sentarse, sentir, poseer
