eye: face, altitude, gota, animal, ovo
fall asleep: madeira, outono, altitude, outro, areia
wake up: soar, madeira, doze, areia, fatia
get up: outro, soar, isso, senda, meter
relax: fluir, regato, regressar, prometer, revolver
fall ill: ardor, madeira, cessar, sentir, soar
be ill: beira, beber, beijar, notícia, areia
ache: ave, gota, erva, rir, ovo
cough: cruz, cova, cinto, cavar, corno
recover: meter, face, altitude, logo, atar
die: gota, ave, meter, vara, rede
perish: perca, permanecer, perder, perna, sentir
move: face, meter, altitude, todo, vara
budge: bando, bordo, borda, bater, bota
stand up: areia, costurar, madeira, soar, ventre
sit down: soar, areia, ardor, sentido, sentir
tumble: tio, tia, tampa, tacho, touro
pace: altitude, onda, meter, rico, asa
go for a walk: soar, areia, madeira, doze, oriente
rush: rir, meter, revolver, tom, rico
hurry: gordo, bando, dizer, gata, juntos
dash: meter, rir, face, altitude, revolver
run: todo, meter, face, altitude, erro
jump: meter, face, altitude, gota, rir
climb: fluir, ardor, revolver, gralha, tossir
seesaw: seio, seis, rir-se, sempre, sementeira
creep: prometer, ferver, crer, ardor, rapaz
swim: revolver, ardor, rapaz, rir, prometer
dive: dano, dizer, dente, dor, diligente
drive: altitude, face, meter, ave, asa
go: ovo, todo, rico, gota, conto
go away: soar, doze, doer, afiado, doente
depart: sentido, rir, ler, meter, sentir
stop: face, meter, altitude, animal, erro
go in: soar, doze, proveito, doer, afiado
enter: meter, face, ler, logo, rir
come: ave, começar, antes, mente, onda
arrive: arrancar, arrastar, arrastar-se, sentir, maxila
come back: começar, soar, areia, sentido, sentir
stay: altitude, face, meter, tom, animal
wait: meter, face, erro, vara, rir
wait for: soar, doze, força, sentir, outro
seek: rir, meter, face, atar, ler
look for: soar, areia, andar, madeira, notícia
find: final, meter, logo, face, altitude
try: erro, meter, face, logo, via
prepare: meter, face, final, logo, altitude
love: altitude, face, grave, ave, rico
like: via, ave, soar, face, areia
laugh: laço, gota, raposa, afiado, outono
weep: rir, meter, anel, face, gota
grumble: gritar, grito, gralha, grande, grão
be annoyed: beber, beijar, beira, soar, notícia
be afraid: beira, beber, beijar, soar, areia
be afraid of: areia, beijar, soar, notícia, beira
flee: fita, fumo, feno, faca, fardo
escape: altitude, face, meter, gota, ovo
see: via, logo, ave, vara, onda
look at: soar, areia, andar, doze, via
watch: via, logo, meter, face, ovo
hear: soar, dar, rir, lar, regar
listen: logo, meter, face, rico, altitude
taste: tio, tia, tacho, tampa, toca
smell: ardor, rir, tossir, revolver, soar
feel: soar, rir, face, ave, sentir
seem: seio, seis, sempre, seco, rir-se
show: final, todo, meter, face, altitude
be cold: beira, beber, beijar, areia, notícia
do: doze, doente, doer, doce, dois
can: canção, areia, via, doze, ave
want: soar, meter, rir, ave, notar
start: todo, face, final, meter, curso
finish: meter, face, altitude, final, panela
succeed: saca, sopa, sair, saber, solo
turn out: soar, sentir, outro, areia, ardor
close: logo, via, face, final, meter
put: meter, rir, sentir, face, ler
lay: rir, meter, ler, anel, lar
touch: face, meter, altitude, todo, logo
connect: meter, altitude, face, todo, logo
hang up: pendurar, romper, soar, revolver, prometer
pick up: areia, soar, madeira, romper, doze
leave: face, ave, logo, altitude, via
lose: face, meter, ave, soar, rir
make: face, meter, altitude, ave, doze
produce: altitude, face, meter, areia, proveito
build: todo, meter, face, testa, altitude
mend: morder, mestre, margem, manga, murmurar
improve: imperar, isso, soar, areia, proveito
alter: alterar, meter, ler, face, final
dig: rir, meter, atar, ler, anel
bend: bando, bordo, bater, bom, borda
spin: meter, altitude, face, sol, odor
turn: meter, face, rir, altitude, atar
turn around: soar, areia, outro, sentir, prometer
raise: final, face, vara, meter, altitude
lift: meter, altitude, face, onda, ovo
seize: seio, seis, seco, sempre, semana
hold: meter, rir, face, ler, soar
press: meter, face, logo, rir, altitude
push: face, todo, meter, final, erro
scrape: oscilar, testa, secar, ajuda, escuro
lick: rir, meter, tom, atar, anel
bite: face, altitude, ave, grave, ovo
tear off: barrete, tornar-se, ventre, ardor, areia
cut off: meter, costurar, areia, madeira, outro
tie: face, meter, altitude, grave, gota
break: face, meter, altitude, final, rir
knock: ardor, rir, tossir, revolver, tapar
hit: meter, rir, face, atar, ler
glue: regato, face, panela, argila, testa
rub: rir, atar, anel, mel, ler
spread: meter, face, altitude, animal, ovo
grind: gritar, grito, grande, gralha, grão
cut: meter, face, altitude, rir, animal
jolt: juntos, jazer, janela, jovem, jogar
shake: face, altitude, meter, ovo, grave
pour: entre, ler, ou, antes, via
fill: meter, face, rir, final, vara
wrap: meter, face, altitude, todo, erro
carry: meter, face, altitude, ovo, asa
drag: meter, face, rir, altitude, animal
pull: meter, face, rir, atar, altitude
keep: face, meter, altitude, animal, rir
throw: face, meter, altitude, final, erro
catch: meter, face, altitude, rir, ovo
grab: meter, rir, face, atar, ovo
hide: logo, face, meter, todo, vara
divide: meter, face, altitude, proveito, vara
send: senda, meter, face, final, sentir
bring: soar, rir, meter, face, ave
add: final, todo, face, meter, seta
get: final, meter, erro, face, logo
receive: via, logo, face, ave, meter
take: ave, face, meter, altitude, doze
choose: face, meter, logo, altitude, via
select: vara, final, meter, todo, conto
preserve: altitude, face, meter, final, asa
hinder: dizer, bando, gata, gordo, morrer
spoil: rir, revolver, ardor, impelir, gordo
destroy: meter, face, altitude, gota, rir
give: ave, face, via, proveito, doze
promise: face, altitude, todo, meter, gota
praise: prado, prato, prata, prazer, prudente
kiss: gordo, juntos, rir, tossir, bando
rock: animal, meter, face, altitude, raposa
wake: face, altitude, grave, meter, gota
guide: logo, altitude, face, meter, asa
teach: cego, seio, soar, veia, ardor
instruct: inimigo, inverno, iniciar, onze, incomodar
bring up: soar, areia, sentir, doze, sentido
lead: face, altitude, meter, animal, odor
urge: ave, face, meter, soar, altitude
let: varrer, variar, vara, final, via
invite: face, logo, todo, conto, altitude
unite: unha, unir, reunir, cego, urso
visit: logo, via, erva, gota, rir
meet: via, logo, tom, rir, soar
assemble: meter, face, altitude, formiga, onda
play: meter, face, rir, logo, outro
sing: rir, meter, ler, anel, soar
dance: altitude, face, grave, animal, asa
separate: seio, seis, seco, semana, sempre
rescue: respirar, outono, regato, revolver, outro
guard: guardar, meter, rir, face, ardor
protect: meter, face, rir, soar, gota
defend: defender, animal, final, correcto, doente
brawl: bando, bordo, borda, bom, bater
shoot: meter, face, rir, soar, rico
win: meter, rir, face, logo, ovo
annoy: ardor, rir, danificar, louvar, revolver
beat: meter, face, altitude, rir, animal
kick: rir, meter, tom, face, atar
sting: ardor, revolver, rapaz, rir, ganso
shove: tossir, rir, ardor, rir-se, ganso
steal: veia, conto, regato, seio, rico
disturb: distante, distância, sentir, extremo, prometer
bother: soar, ardor, bando, rosto, doze
conceal: congelar, consertar, conversação, conversar, conversa
deceive: deus, deitar, debaixo, de vez, depois
cheat: cheio, cheiro, doze, cego, afiado
kill: meter, rir, face, tom, atar
dwell: dizer, dano, dente, dor, dormir
gather: meter, face, altitude, rir, soar
pick: meter, rir, face, atar, tom
hunt: rir, meter, rico, asa, erva
herd: ardor, ferver, ralhar, fatia, maduro
tie up: areia, doze, madeira, banha, barrete
feed: meter, face, altitude, animal, ovo
chop: meter, rir, face, tom, ovo
ripen: ribeiro, cego, rir, abeto, ardor
cook: rir, tom, meter, face, rico
bake: bando, bordo, borda, bota, bater
fry: fresco, fumo, fome, frio, fita
stir: tossir, ferver, rir, ardor, robusto
knit: rir, gordo, ardor, revolver, fatia
sew: seio, seis, seco, sempre, semana
dye: dente, dizer, dano, dor, dorso
wash: meter, face, rir, tom, anel
wipe: face, meter, altitude, todo, gota
rinse: fatia, danificar, gancho, ardor, pinheiro
sweep: sopa, saca, saber, solo, sair
bath: bando, bordo, bater, bom, borda
take off: soar, doze, areia, madeira, proveito
put on: sentir, areia, soar, sentido, doze
get dressed: soar, outro, areia, doze, outono
decorate: face, meter, madeira, altitude, logo
say: rir, um, meter, ler, soar
speak: saca, sopa, saber, sair, solo
chat: meter, todo, botão, face, gota
ask: rir, tom, asa, meter, ave
request: todo, final, erro, face, meter
tell: via, meter, rir, vara, face
convey: congelar, consertar, conversar, conversação, conversa
brag: brigar, bramar, brando, branco, brilhar
translate: todo, logo, altitude, meter, marca
think: meter, altitude, face, via, soar
believe: belo, soar, ardor, ovelha, mentira
notice: logo, face, meter, todo, altitude
recognize: proveito, sentido, sentir, mentira, soar
grasp: gritar, grito, gralha, grande, grão
understand: areia, proveito, notícia, soar, onze
learn: logo, meter, altitude, face, asa
know: soar, meter, rir, via, ave
remember: soar, via, logo, meter, rir
forget: rir, meter, face, soar, via
measure: meter, face, altitude, vara, proveito
calculate: correcto, meter, altitude, face, final
read: logo, meter, final, vara, face
draw: meter, face, final, altitude, erro
write: face, todo, meter, final, altitude
own: meter, face, via, altitude, ave
buy: logo, via, onda, ovo, erva
sell: meter, rir, areia, logo, via
pay for: areia, onze, costurar, via, força
pay: meter, rir, face, atar, altitude
rule: meter, face, erro, vara, final
endure: ardor, outro, sentir, prometer, soar
