eye: кость, мир, рана, ходить, и
come back: кость, ходить, или, рана, есть
stay: кость, ходить, рана, мир, есть
wait: кость, ходить, есть, рана, так
wait for: кость, есть, или, ходить, рана
seek: кость, есть, и, ходить, мир
look for: кость, есть, или, ходить, и
find: кость, есть, и, рана, дать
try: кость, рана, или, есть, ходить
prepare: кость, есть, рана, ходить, чай
love: кость, мир, ходить, рана, есть
like: кость, или, есть, и, ходить
laugh: кость, рана, ходить, мир, чай
weep: кость, ходить, рана, мир, есть
grumble: кость, ходить, рана, мир, чай
be annoyed: кость, ходить, рана, или, есть
be afraid: кость, ходить, рана, или, и
be afraid of: кость, ходить, или, рана, есть
flee: кость, рана, ходить, мир, и
escape: кость, ходить, рана, есть, мир
see: кость, или, есть, рана, и
look at: кость, есть, или, ходить, и
watch: кость, рана, мир, есть, или
hear: кость, ходить, мир, рана, и
listen: кость, ходить, рана, есть, мир
taste: кость, рана, ходить, и, мир
smell: кость, рана, ходить, мир, чай
feel: кость, ходить, есть, и, мир
seem: кость, ходить, или, рана, и
show: кость, есть, мир, ряд, рана
be cold: кость, ходить, рана, и, или
do: кость, есть, или, рана, и
can: кость, или, есть, и, что
want: кость, есть, и, или, ходить
start: кость, есть, ходить, рана, мир
finish: кость, есть, рана, ходить, нож
succeed: кость, ходить, рана, и, мир
turn out: кость, ходить, есть, рана, или
close: кость, или, и, рана, есть
put: кость, есть, ходить, и, или
lay: кость, ходить, рана, и, есть
touch: кость, рана, есть, ходить, мир
connect: кость, есть, мир, ряд, и
hang up: кость, ходить, рана, есть, или
pick up: кость, ходить, есть, рана, или
leave: кость, есть, ходить, или, рана
lose: кость, есть, ходить, или, рана
make: кость, есть, ходить, рана, дать
produce: кость, есть, рана, ходить, и
build: кость, есть, мир, ива, дом
mend: кость, рана, мир, и, ходить
improve: кость, есть, или, и, рана
alter: кость, есть, мир, ходить, рана
dig: кость, рана, мир, ходить, и
bend: кость, рана, ходить, мир, и
spin: кость, рана, мир, ходить, есть
turn: кость, есть, ходить, мир, и
turn around: кость, ходить, рана, есть, или
raise: кость, есть, ходить, дать, рана
lift: кость, ходить, рана, есть, и
seize: кость, ходить, рана, или, и
hold: кость, ходить, рана, есть, и
press: кость, мир, рана, ходить, и
push: кость, есть, ходить, ряд, нести
scrape: кость, рана, мир, есть, ива
lick: кость, ходить, рана, мир, и
bite: кость, ходить, рана, мир, есть
tear off: кость, ходить, рана, или, есть
cut off: кость, ходить, рана, есть, нож
tie: кость, рана, ходить, чай, ива
break: кость, ходить, рана, есть, мир
knock: кость, рана, ходить, есть, мир
hit: кость, рана, ходить, мир, или
glue: кость, рана, ходить, есть, мир
rub: кость, рана, ходить, и, мир
spread: кость, есть, рана, ходить, мир
grind: кость, ходить, рана, чай, и
cut: кость, ходить, рана, есть, чай
jolt: кость, рана, чай, ходить, мир
shake: кость, ходить, рана, чай, мир
pour: кость, или, ходить, и, есть
fill: кость, есть, ходить, рана, и
wrap: кость, есть, ходить, рана, чай
carry: кость, ходить, есть, нести, рана
drag: кость, рана, мир, ходить, есть
pull: кость, есть, ходить, и, дать
keep: кость, есть, и, ходить, или
throw: кость, есть, ходить, нести, рана
catch: кость, есть, рана, ходить, и
grab: кость, есть, рана, чай, мир
hide: кость, есть, или, рана, ходить
divide: кость, ходить, рана, есть, мир
send: кость, есть, ходить, и, или
bring: кость, есть, и, ходить, рана
add: кость, есть, ряд, дать, и
get: кость, есть, дать, и, рана
receive: кость, есть, и, или, рана
take: кость, есть, ходить, рана, или
choose: кость, есть, или, и, ходить
select: кость, есть, рана, ходить, или
preserve: кость, есть, мир, рана, дать
hinder: кость, рана, ходить, мир, и
spoil: кость, рана, ходить, мир, чай
destroy: кость, есть, рана, мир, ходить
give: кость, дать, есть, или, ходить
promise: кость, есть, ходить, рана, мир
praise: кость, рана, ходить, мир, и
kiss: кость, рана, ходить, мир, и
rock: кость, мир, рана, ходить, чай
wake: кость, рана, ходить, мир, чай
guide: кость, рана, мир, ходить, чай
teach: кость, рана, ходить, чай, мир
instruct: кость, рана, или, и, есть
bring up: кость, есть, ходить, или, рана
lead: кость, рана, и, ходить, есть
urge: кость, рана, ходить, или, и
let: есть, кость, или, ходить, рана
invite: кость, есть, рана, мир, ходить
unite: кость, ходить, рана, мир, есть
visit: кость, рана, или, есть, и
meet: кость, или, есть, рана, и
assemble: кость, есть, ходить, рана, мир
play: кость, мир, рана, есть, ходить
sing: кость, ходить, рана, и, или
dance: кость, мир, рана, ходить, чай
separate: кость, рана, ходить, или, есть
rescue: кость, рана, ходить, мир, есть
guard: кость, рана, ходить, мир, есть
protect: кость, есть, мир, рана, и
defend: кость, есть, ходить, или, что
brawl: кость, рана, ходить, мир, чай
shoot: кость, ходить, рана, мир, есть
win: кость, рана, есть, мир, чай
annoy: кость, рана, ходить, мир, есть
beat: кость, рана, мир, ходить, чай
kick: кость, ходить, есть, рана, мир
sting: кость, рана, ходить, мир, есть
shove: кость, ходить, рана, мир, нести
steal: кость, есть, ходить, рана, мир
disturb: кость, ходить, рана, мир, и
bother: кость, ходить, рана, мир, или
conceal: кость, ходить, рана, или, есть
deceive: кость, ходить, рана, или, мир
cheat: кость, ходить, чай, рана, есть
kill: кость, есть, рана, ходить, мир
dwell: кость, рана, ходить, мир, и
gather: кость, есть, ходить, мир, рана
pick: кость, рана, есть, ходить, чай
hunt: кость, рана, ходить, мир, ива
herd: кость, ходить, рана, мир, или
tie up: кость, ходить, рана, или, есть
feed: кость, чай, рана, есть, ходить
chop: кость, ходить, рана, чай, мир
ripen: кость, рана, ходить, мир, чай
cook: кость, ходить, рана, чай, мир
bake: кость, рана, ходить, чай, мир
fry: кость, рана, ходить, чай, мир
stir: кость, ходить, рана, мир, есть
knit: кость, рана, ходить, мир, чай
sew: кость, ходить, рана, или, и
dye: кость, рана, ходить, и, чай
wash: кость, ходить, рана, чай, мир
wipe: кость, есть, ходить, рана, мир
rinse: кость, рана, ходить, чай, мир
sweep: кость, ходить, рана, и, мир
bath: кость, рана, ходить, мир, чай
take off: кость, ходить, есть, рана, или
put on: кость, есть, ходить, или, рана
get dressed: кость, ходить, есть, рана, или
decorate: кость, ходить, есть, рана, мир
say: кость, ходить, и, есть, рана
speak: кость, ходить, рана, и, мир
chat: кость, чай, мир, рана, ходить
ask: кость, есть, мир, или, и
request: кость, есть, рог, дать, ряд
tell: кость, есть, ходить, и, или
convey: кость, ходить, рана, и, есть
brag: кость, рана, ходить, и, мир
translate: кость, есть, ходить, рана, мир
think: кость, и, мир, ходить, есть
believe: кость, ходить, рана, мир, или
notice: кость, рана, есть, ходить, лось
recognize: кость, рана, и, ходить, есть
grasp: кость, рана, ходить, мир, и
understand: кость, есть, или, и, рана
learn: кость, есть, ходить, мир, и
know: кость, есть, и, или, мир
remember: кость, есть, или, рана, и
forget: кость, есть, или, и, ходить
measure: кость, рана, ходить, и, есть
calculate: кость, есть, рана, лось, дать
read: кость, есть, рана, и, или
draw: кость, есть, мир, рана, ходить
write: кость, есть, дать, ходить, и
own: кость, есть, и, мир, рана
buy: кость, или, есть, рана, и
sell: кость, есть, или, рана, и
pay for: кость, или, есть, рана, и
pay: кость, рана, и, ходить, есть
rule: кость, есть, рана, лось, ходить
endure: кость, ходить, рана, есть, или
