eye: stem, zee, lip, worm, door
stop: stoppen, stem, blind, put, top
go in: goed, noemen, doof, tooien, dochter
enter: put, lopen, later, roken, heet
come: olie, later, roken, rede, hoe
arrive: worden, week, lopen, praten, hitte
come back: toenemen, tooien, herstellen, bang zijn, later
stay: week, brief, roken, been, heet
wait: put, week, heet, bot, kind
wait for: put, later, heet, noemen, of
seek: put, heet, kind, lopen, roken
look for: put, of, ingaan, soep, roken
find: put, top, kind, blind, stem
try: put, week, heet, stem, lopen
prepare: put, stem, heet, lopen, brief
love: zee, olie, roken, beer, teen
like: of, roken, put, later, as
laugh: laars, noemen, staart, cadeau, traan
weep: roken, heet, pees, mist, worm
grumble: grond, graven, gras, slank, slapen
be annoyed: beven, bezem, beek, beheersen, been
be afraid: beven, beek, bezem, beheersen, bezoeken
be afraid of: beheersen, beven, bezem, beek, bezitten
flee: fijn, familie, slee, ginds, koe
escape: lopen, elf, stem, roken, heet
see: roken, of, lopen, oor, thee
look at: put, soep, dochter, of, tooien
watch: roken, beeld, brief, blind, teen
hear: oor, roken, heet, brief, lopen
listen: roken, lopen, week, brief, put
taste: tante, tellen, tien, tijd, twee
smell: smal, smelten, heet, slim, slapen
feel: put, roken, heet, been, later
seem: september, bezem, beek, beven, ineens
show: boot, put, elf, brief, letter
be cold: beven, beek, bezem, been, beheersen
do: doof, doen, dochter, doek, put
can: of, later, roken, put, willen
want: put, heet, kind, roken, pees
start: week, bot, beginnen, top, last
finish: heet, stem, put, roken, letter
succeed: soms, slee, slijpen, samen, slepen
turn out: put, ingaan, roken, heet, later
close: brief, put, roken, lopen, top
put: put, heet, roken, lopen, kind
lay: put, heet, roken, lied, pees
touch: boot, elf, put, bot, stem
connect: lopen, boot, nest, put, stem
hang up: hangen, bang zijn, roken, put, bedekken
pick up: put, ingaan, roken, doof, drinken
leave: put, roken, heet, lopen, brief
lose: put, roken, heet, lopen, brief
make: put, lopen, stem, roken, brief
produce: stem, heet, of, brief, roken
build: boot, elf, put, stem, rust
mend: muts, mug, muis, maken, mier
improve: overal, inham, ingaan, stoppen, put
alter: put, lopen, stem, heet, roken
dig: oog, dag, pees, alom, lopen
bend: bont, brij, bellen, beneden, buidel
spin: spin, ring, stem, kin, heet
turn: put, heet, roken, kind, stem
turn around: put, roken, ingaan, heet, doof
raise: put, elf, kind, lopen, heet
lift: heet, stem, boom, roken, ring
seize: september, ineens, reeks, nevel, noemen
hold: put, roken, heet, lopen, lied
press: brief, pees, roken, stem, lopen
push: put, bot, boot, rand, pop
scrape: bot, boot, storen, spoor, spelen
lick: roken, pees, heet, lopen, put
bite: roken, olie, zee, stem, boom
tear off: teken, tehuis, tegelijk, tekenen, tevergeefs
cut off: put, roken, heet, ingaan, stem
tie: olie, roken, ring, heet, hoe
break: put, roken, week, heet, stem
knock: knook, knokken, roken, komen, rinkelen
hit: hitte, heet, put, roken, pad
glue: glad, glanzen, slim, plank, slapen
rub: pees, roken, mist, put, heet
spread: put, heet, stem, blind, roken
grind: grond, gras, graven, honing, slim
cut: put, nut, stem, heet, roken
jolt: jij, jagen, juli, juni, jullie
shake: roken, beer, olie, boom, zee
pour: of, oor, heet, put, roken
fill: put, heet, stem, roken, lopen
wrap: put, boot, elf, stem, heet
carry: put, roken, heet, stem, lopen
drag: dag, stem, put, heet, pad
pull: put, stem, pad, heet, boot
keep: put, blind, roken, stem, heet
throw: put, heet, stem, elf, boot
catch: put, heet, elf, lopen, week
grab: put, roken, heet, lopen, pad
hide: put, lopen, roken, top, elf
divide: put, lopen, stem, roken, heet
send: put, rand, bot, kind, lopen
bring: put, roken, heet, lopen, brief
add: put, elf, bot, rand, pad
get: put, bot, vet, top, last
receive: put, brief, of, heet, lopen
take: put, roken, heet, lopen, brief
choose: put, lopen, roken, heet, stem
select: put, lopen, week, vet, brief
preserve: lopen, brief, put, elf, last
hinder: hinderen, honing, houden, heden, helling
spoil: spoor, spits, spelen, spel, spiegel
destroy: put, roken, lopen, heet, stem
give: put, roken, brief, of, lopen
promise: lopen, letter, elf, stem, zee
praise: praten, pralen, meester, noemen, zonde
kiss: komen, koken, kammen, kist, knoop
rock: worm, beer, stem, ring, boom
wake: roken, zee, olie, stem, boom
guide: stem, brief, lopen, roken, heet
teach: teken, tehuis, tekenen, tevergeefs, tegelijk
instruct: inham, of, inwikkelen, ingaan, toon
bring up: put, ingaan, dochter, herstellen, noemen
lead: stem, heet, top, blind, brief
urge: roken, heet, later, put, lopen
let: val, of, put, later, oor
invite: letter, put, week, lopen, kind
unite: redden, reiken, noemen, lopen, roken
visit: roken, lopen, heet, beeld, top
meet: roken, oor, as, of, heet
assemble: lopen, stem, put, heet, elf
play: roken, lopen, blind, heet, put
sing: heet, roken, put, lied, pees
dance: beer, zee, teen, ski, winter
separate: september, noemen, reeks, lopen, roken
rescue: reeks, worden, redden, regenen, reiken
guard: heet, roken, put, stem, lopen
protect: put, roken, heet, lopen, stem
defend: blind, put, brief, of, vet
brawl: bellen, brij, buidel, bitter, bont
shoot: put, heet, roken, pees, boom
win: lopen, put, roken, boot, kin
annoy: willen, rennen, rinkelen, dan, noemen
beat: heet, stem, beer, roken, boom
kick: roken, boom, heet, pees, put
sting: stang, stoten, stof, strop, stelen
shove: zonde, roken, schrede, rinkelen, slapen
steal: steun, steunen, ze, lopen, zee
disturb: heet, put, mist, bot, regenen
bother: boog, boord, boezem, boek, boven
conceal: repareren, reinigen, ineens, redden, proberen
deceive: deken, deur, deel, deksel, rede
cheat: cadeau, meester, hitte, noemen, reeks
kill: put, blind, roken, heet, boot
dwell: droom, dansen, dorp, doden, dood
gather: put, lopen, stem, roken, heet
pick: put, roken, heet, pees, stem
hunt: roken, hart, lopen, heet, boom
herd: herstellen, herfst, herkennen, ingaan, noemen
tie up: roken, hitte, hangen, noemen, ingaan
feed: stem, beer, boot, worm, nest
chop: roken, stem, heet, boom, pees
ripen: riem, roken, roeren, lopen, redden
cook: chef, roken, lopen, stem, put
bake: bellen, brij, bitter, bont, buidel
fry: fijn, familie, buidel, koken, ginds
stir: strop, stang, stoten, sturen, stier
knit: knook, knokken, komen, roken, koken
sew: september, bezem, beek, soep, ineens
dye: drie, dorp, dansen, droom, doden
wash: roken, heet, pees, put, stem
wipe: put, boot, elf, stem, roken
rinse: rinkelen, drinken, roken, rennen, hitte
sweep: slee, soms, slijpen, samen, slepen
bath: bitter, brij, bellen, bont, buidel
take off: put, noemen, roken, ingaan, doof
put on: put, ingaan, of, roken, noemen
get dressed: put, brief, roken, worden, doof
decorate: roken, put, stem, door, lopen
say: put, heet, alom, oor, kind
speak: slee, soms, samen, spreken, slijpen
chat: bot, dat, plat, boot, lopen
ask: put, lopen, chef, alom, blind
request: ui, bot, letter, elf, fout
tell: put, blind, lopen, oor, roken
convey: heet, ingaan, put, roken, lopen
brag: braden, brug, bruisen, buidel, ginds
translate: bot, elf, lopen, boot, brief
think: boom, stem, brief, heet, blind
believe: beloven, willen, noemen, roken, nevel
notice: letter, lopen, put, brief, heet
recognize: noemen, put, ingaan, later, of
grasp: gras, grond, graven, plank, ginds
understand: overal, of, ingaan, inham, put
learn: lopen, put, brief, stem, top
know: put, roken, heet, brief, kind
remember: roken, put, later, heet, brief
forget: put, roken, heet, later, lopen
measure: heet, put, stem, lopen, letter
calculate: stem, put, heet, letter, rand
read: put, brief, lopen, heet, kind
draw: put, heet, elf, stem, lopen
write: put, letter, brief, elf, rand
own: roken, put, heet, lopen, brief
buy: roken, top, of, stem, brief
sell: roken, put, heet, stem, top
pay for: ingaan, of, dochter, overal, put
pay: put, heet, pees, roken, lopen
rule: heet, put, elf, letter, lopen
endure: ingaan, stoppen, heet, noemen, roken
