eye: 耳, 唇, そして, こちら, 歯
forty: 二十, 十, 像, そして, -と
fifty: 二十, そして, -と, こちら, 件
sixty: 二十, 十, 六, 十二, 八
seventy: -と, 二十, -たい, そして, 件
eighty: 二十, 十, -と, 八, -たい
ninety: 二十, -と, そして, -たい, 十
a hundred: -たい, -と, 像, 二十, そして
a thousand: -たい, -と, 像, 千, そして
and: -と, -たい, 像, そして, 部分
or: -と, 像, -たい, そして, まず
stand: そして, 街道, まず, 部分, 像
sit: そして, 先生, 像, 部分, 理由
hang: そして, 像, 衣服, 先生, まず
become: -と, -たい, こちら, 像, そして
happen: そして, -と, 理由, -たい, 先生
begin: 像, まず, 部分, 理由, そして
change: 部分, 像, まず, そして, 理由
rise: そして, 部分, 理由, 先生, こちら
set: 部分, まず, そして, 像, こちら
shine: そして, 衣服, 先生, 像, する
blow: そして, 像, 部分, 理由, 先生
stream: 像, 部分, そして, -と, こちら
flow: 部分, そして, する, 理由, 像
revolve: 像, そして, 先生, 街道, 衣服
sway: 像, 部分, そして, -と, 理由
swing: そして, 像, 部分, まず, 衣服
fall: 秋, そして, こちら, まず, 五月
burn: そして, 像, 部分, まず, こちら
freeze: 部分, 理由, まず, そして, する
thaw: -と, そして, -たい, 像, 部分
melt: そして, 部分, 理由, 像, 高い
boil: -と, -たい, 先生, 理由, そして
rot: そして, 部分, 像, 輪, 理由
decay: 部分, する, そして, 理由, 像
snap: そして, 像, 部分, まず, 理由
sink: そして, 衣服, する, 像, 岸
pass: 部分, そして, 理由, 像, まず
appear: 理由, そして, 像, 部分, こちら
disappear: 理由, そして, -と, 像, 先生
decrease: -と, -たい, 高い, そして, こちら
increase: 高い, 部分, 像, まず, そして
grow: そして, 像, する, 部分, こちら
sparkle: 像, 蜘蛛, 衣服, 部分, 理由
be noisy: -たい, -と, 理由, する, 像
chime: 理由, -と, 先生, 像, 街道
tinkle: -と, 先生, そして, 理由, -たい
roar: -と, 先生, そして, 理由, -たい
rustle: 像, 衣服, -と, 部分, 理由
howl: -と, -たい, 像, 部分, そして
whistle: 先生, そして, -と, 理由, 像
shout: そして, -と, 先生, 像, 理由
groan: そして, 先生, 理由, -と, する
tremble: -と, -たい, 理由, そして, 先生
be alive: -たい, -と, 理由, する, 先生
be born: -たい, -と, する, 理由, そして
breathe: -と, -たい, 理由, そして, 像
drink: そして, こちら, 像, まず, 部分
eat: そして, こちら, 部分, 像, まず
swallow: 像, -と, 部分, -たい, そして
get tired: 像, -たい, -と, 部分, する
fall asleep: -たい, -と, する, 衣服, 理由
wake up: -たい, -と, 像, 理由, する
get up: -と, -たい, 像, そして, 部分
relax: 理由, そして, -と, 像, 部分
fall ill: する, 理由, 五月, そして, 衣服
be ill: する, 理由, 先生, -と, -たい
ache: そして, 先生, こちら, 部分, 理由
cough: 理由, 先生, そして, する, -と
recover: 像, 部分, まず, そして, 高い
die: 像, そして, こちら, まず, 部分
perish: -と, -たい, 像, そして, 部分
move: 像, 部分, まず, そして, こちら
budge: -と, -たい, 先生, 理由, そして
stand up: -たい, -と, する, 街道, そして
sit down: -たい, -と, する, 先生, 像
tumble: そして, -と, 理由, 先生, こちら
pace: 部分, こちら, 先生, そして, 像
go for a walk: -と, -たい, 像, 場所, 炒める
rush: そして, 部分, 先生, 像, まず
hurry: そして, -と, 先生, 理由, -たい
dash: 部分, そして, 像, まず, 先生
run: 像, 部分, まず, そして, 理由
jump: 部分, そして, 像, 理由, まず
climb: そして, 像, -と, 部分, 理由
seesaw: -と, -たい, 像, そして, こちら
creep: 理由, 部分, 像, 先生, そして
swim: そして, 像, 部分, 先生, 衣服
dive: そして, 部分, 理由, 先生, まず
drive: そして, 部分, まず, 像, こちら
go: そして, 像, 部分, こちら, まず
go away: -たい, -と, 像, 理由, そして
depart: そして, こちら, 距離, 部分, 像
stop: 部分, 像, そして, まず, 街道
go in: -と, -たい, 像, こちら, 場所
enter: 部分, こちら, 像, そして, まず
come: そして, 像, 先生, こちら, 理由
arrive: 先生, 理由, -と, 場所, そして
come back: -たい, -と, 像, そして, 理由
stay: そして, まだ, こちら, 部分, 像
wait: そして, 理由, 像, 先生, 部分
wait for: -たい, -と, 像, そして, まず
seek: そして, 部分, 像, 理由, こちら
look for: -たい, -と, 像, そして, こちら
find: 像, 部分, そして, まず, こちら
try: 像, 部分, 理由, まず, そして
prepare: 部分, まず, 像, そして, こちら
love: 像, そして, こちら, 先生, する
like: 像, -たい, -と, そして, まず
laugh: そして, -と, -たい, 像, 理由
weep: そして, 像, 先生, 理由, 衣服
grumble: 理由, そして, 先生, 像, 部分
be annoyed: -と, -たい, 理由, 先生, する
be afraid: -と, -たい, 理由, 像, 先生
be afraid of: -たい, -と, 像, 理由, する
flee: -たい, -と, 理由, そして, こちら
escape: 部分, そして, 像, まず, 理由
see: -たい, -と, 像, こちら, そして
look at: -たい, -と, 像, こちら, 衣服
watch: 像, こちら, そして, まず, 部分
hear: そして, こちら, 像, 部分, 先生
listen: 理由, 先生, そして, 像, こちら
taste: -と, -たい, そして, 理由, 味
smell: -と, 部分, 衣服, 像, そして
feel: そして, 像, こちら, 部分, 理由
seem: そして, 像, -と, こちら, 理由
show: 部分, 像, まず, そして, 前に
be cold: -と, -たい, する, そして, 理由
do: 像, 部分, そして, まず, 理由
can: 像, 部分, そして, こちら, まず
want: 像, そして, こちら, 部分, -と
start: 部分, まず, 像, そして, 理由
finish: そして, 像, 部分, まず, 衣服
succeed: -と, -たい, 理由, そして, 部分
turn out: -たい, -と, する, 像, 理由
close: 像, こちら, まず, -と, そして
put: 像, そして, 部分, まず, こちら
lay: そして, 像, 部分, まず, こちら
touch: 像, 部分, まず, そして, こちら
connect: 部分, 像, こちら, まず, そして
hang up: -と, -たい, 衣服, 像, 理由
pick up: -たい, -と, 像, そして, まず
leave: 像, そして, こちら, 部分, 距離
lose: 像, そして, 部分, 理由, 高い
make: 像, まず, 部分, そして, こちら
produce: 部分, そして, 像, こちら, 高い
build: 部分, 像, まず, 街道, そして
mend: そして, 像, 部分, 理由, こちら
improve: 像, -と, -たい, 部分, そして
alter: 部分, 像, そして, まず, 希望
dig: そして, 部分, 像, 先生, こちら
bend: 部分, そして, 理由, 像, 衣服
spin: そして, 部分, 理由, 像, する
turn: 像, そして, 部分, まず, する
turn around: -たい, -と, 像, する, 理由
raise: 像, 部分, 理由, まず, そして
lift: そして, 部分, まず, 理由, 像
seize: -と, -たい, そして, こちら, 理由
hold: 像, そして, 部分, まず, こちら
press: 新聞, こちら, そして, 先生, 部分
push: 部分, 像, まず, 希望, そして
scrape: 部分, こちら, 像, 街道, そして
lick: 像, そして, こちら, 先生, 部分
bite: そして, こちら, 像, 部分, まず
tear off: -と, -たい, する, そして, 像
cut off: -と, -たい, 像, 理由, する
tie: そして, 衣服, する, 理由, 像
break: そして, 像, 部分, 理由, まず
knock: そして, 理由, 先生, 部分, する
hit: そして, 像, 部分, こちら, 距離
glue: 像, 部分, まず, そして, 理由
rub: そして, 像, 部分, まず, 理由
spread: 像, 部分, そして, まず, 理由
grind: そして, 像, 部分, 理由, まず
cut: そして, 像, まず, 部分, こちら
jolt: 像, そして, 部分, -と, 先生
shake: そして, する, 衣服, 理由, 先生
pour: そして, 像, こちら, まず, もう
fill: そして, 部分, まず, 像, 理由
wrap: 像, 部分, まず, そして, 衣服
carry: 像, そして, 部分, する, 高い
drag: 部分, 像, そして, まず, 距離
pull: 像, そして, 部分, まず, 前に
keep: 像, 部分, そして, まず, こちら
throw: 像, 部分, そして, 理由, まず
catch: 像, 部分, そして, まず, 理由
grab: 像, そして, 部分, まず, こちら
hide: まず, こちら, 場所, -と, 像
divide: 部分, 像, そして, まず, 理由
send: 像, そして, まず, 部分, 理由
bring: 像, そして, 部分, まず, こちら
add: 像, 部分, まず, そして, 前に
get: 像, 部分, まず, そして, こちら
receive: 像, 部分, そして, こちら, まず
take: 像, そして, 部分, まず, 距離
choose: 像, まず, 部分, そして, -と
select: 部分, 像, 場所, まず, -と
preserve: こちら, まず, 部分, そして, 像
hinder: 理由, そして, -と, 先生, 部分
spoil: 部分, 理由, そして, -と, 先生
destroy: 像, 部分, そして, まず, こちら
give: 像, そして, こちら, 部分, まず
promise: 部分, 理由, 像, 希望, 先生
praise: そして, 先生, -と, 理由, 像
kiss: そして, 像, -と, 先生, 理由
rock: 像, 部分, 衣服, そして, する
wake: そして, 部分, 先生, 理由, 街道
guide: こちら, 部分, そして, まず, 場所
teach: 像, そして, -と, こちら, -たい
instruct: -と, -たい, 像, こちら, 部分
bring up: -たい, -と, 像, する, 理由
lead: 部分, そして, 街道, 理由, する
urge: 像, 部分, そして, こちら, -と
let: 像, まず, 部分, そして, する
invite: 部分, 像, 先生, 希望, 客
unite: そして, こちら, 部分, -と, まず
visit: こちら, 像, そして, -と, まず
meet: 像, そして, こちら, -と, まず
assemble: 像, 部分, そして, まず, 理由
play: 像, そして, こちら, まず, 部分
sing: 像, そして, 部分, 先生, こちら
dance: そして, こちら, 先生, する, 衣服
separate: -と, -たい, 部分, そして, こちら
rescue: そして, 理由, 先生, 部分, する
guard: そして, 像, 部分, こちら, まず
protect: 像, 部分, そして, こちら, まず
defend: 像, 部分, 民族, そして, する
brawl: そして, 理由, 先生, -と, 衣服
shoot: そして, 像, こちら, まず, 部分
win: 像, そして, 部分, まず, こちら
annoy: -と, 像, 先生, そして, -たい
beat: 像, そして, 部分, こちら, 理由
kick: 像, そして, 部分, まず, こちら
sting: -と, 像, そして, 理由, 先生
shove: -と, -たい, そして, 先生, 理由
steal: そして, 先生, 理由, こちら, 像
disturb: 部分, 理由, そして, 像, 網
bother: -と, -たい, 像, 先生, 理由
conceal: -と, -たい, そして, 像, 理由
deceive: -と, -たい, 像, そして, 先生
cheat: 像, -と, そして, 理由, -たい
kill: 像, 部分, そして, まず, まだ
dwell: そして, こちら, -と, 理由, 部分
gather: 像, そして, 部分, まず, こちら
pick: そして, 像, 部分, まず, こちら
hunt: そして, 部分, こちら, 先生, まず
herd: -と, そして, -たい, 像, する
tie up: -たい, -と, する, 衣服, 理由
feed: 部分, そして, 衣服, 理由, まず
chop: そして, 像, する, 先生, 部分
ripen: -と, -たい, そして, 理由, 像
cook: 像, そして, 部分, 先生, こちら
bake: そして, -と, 理由, 先生, こちら
fry: そして, -と, 理由, 部分, 先生
stir: そして, 像, 先生, 理由, 岸
knit: そして, 衣服, 先生, こちら, 部分
sew: そして, こちら, 像, 先生, -と
dye: そして, 理由, 先生, 部分, する
wash: そして, する, まず, まだ, 部分
wipe: 像, そして, まず, 部分, する
rinse: -と, 先生, そして, 理由, -たい
sweep: そして, -と, 部分, -たい, 理由
bath: そして, 街道, 部分, する, 衣服
take off: -と, -たい, 像, 理由, する
put on: -たい, -と, 像, そして, する
get dressed: -と, -たい, 像, 衣服, 部分
decorate: そして, 像, まず, する, -と
say: そして, 像, 先生, 部分, 理由
speak: そして, 理由, -と, 先生, する
chat: 部分, そして, 像, 先生, こちら
ask: 像, そして, まず, こちら, 部分
request: 部分, 希望, 街道, まず, そして
tell: 像, 部分, そして, まず, こちら
convey: -と, そして, -たい, 像, 部分
brag: -と, -たい, そして, 理由, こちら
translate: まず, 部分, そして, こちら, する
think: 像, そして, こちら, 部分, まず
believe: -と, -たい, 像, そして, こちら
notice: 理由, -と, 場所, 部分, -たい
recognize: -と, -たい, 像, 部分, そして
grasp: 部分, 像, 理由, そして, -と
understand: -たい, -と, 像, 部分, まず
learn: 像, まず, そして, 部分, こちら
know: 像, そして, 部分, こちら, まず
remember: 像, そして, -と, 部分, まず
forget: 像, そして, -と, -たい, 部分
measure: 部分, 理由, 高い, 像, そして
calculate: 部分, 高い, まず, そして, 像
read: 像, 部分, -と, そして, まず
draw: 像, 部分, そして, まず, こちら
write: 部分, 像, そして, まず, 理由
own: 像, 部分, そして, こちら, まず
buy: 像, -と, まず, そして, 部分
sell: 像, そして, -と, こちら, まず
pay for: 像, -と, -たい, こちら, 部分
pay: 像, そして, 部分, こちら, 網
rule: 部分, 像, 理由, まず, そして
endure: -と, 理由, -たい, 部分, 像
