eye: face, tube, altitude, plier, roi
swim: jeter, grimper, poser, talon, marcher
dive: duper, dix, dieu, doux, dormir
drive: force, tube, route, altitude, face
go: goût, roi, poser, route, place
go away: goût, goûter, poser, noir, attendre
depart: bout, chant, poser, orient, seau
stop: correct, force, cause, poser, parents
go in: goût, goûter, toit, chose, attendre
enter: correct, poser, place, changer, cause
come: venir, seau, prise, ours, rire
arrive: arriver, arracher, arrêter, temps, poser
come back: attendre, attendrir, soir, soirée, plus tard
stay: pain, plier, ours, parents, six
wait: correct, poser, changer, place, force
wait for: attendre, cause, attendrir, toit, correct
seek: poser, cause, correct, chant, bout
look for: boutique, attendrir, orner, attendre, soir
find: correct, cause, place, second, distance
try: correct, cause, force, place, poser
prepare: correct, place, force, cause, large
love: poser, altitude, conversation, face, cause
like: cause, bout, or, seau, place
laugh: taureau, jaune, hauteur, traire, faible
weep: poser, plier, chant, vent, ton
grumble: gronder, grue, gratter, grain, griffe
be annoyed: beau, beurre, attendre, attendrir, soir
be afraid: beau, beurre, attendre, herbe, soir
be afraid of: beau, attendre, soirée, orner, ne ... pas
flee: fuir, femme, fumer, fille, faim
escape: poser, force, distance, correct, altitude
see: cause, seau, bout, place, prise
look at: boutique, attendrir, soir, attendre, bout
watch: bout, poser, sale, six, image
hear: cause, poser, seau, ours, rire
listen: poser, conversation, parents, place, comment
taste: talon, tante, trente, tasse, tuer
smell: poser, moustache, jeter, blessure, odeur
feel: cause, ours, poser, bout, chant
seem: se taper, sept, se passer, seul, se lever
show: correct, changer, route, poser, trace
be cold: beau, beurre, prise, orner, herbe
do: doigt, cause, correct, seau, large
can: canot, canard, canne, or, cause
want: chant, bout, cause, ours, or
start: correct, route, distance, force, changer
finish: correct, poser, plier, large, sale
succeed: sot, sombre, sable, svelte, sud
turn out: attendrir, cause, attendre, plier, orner
close: place, image, correct, cause, comment
put: correct, chant, bout, place, poser
lay: chant, lit, poser, plier, bout
touch: toucher, face, correct, poser, changer
connect: correct, route, trace, chat, filer
hang up: plier, poser, attendrir, offrir, attendre
pick up: plier, boutique, attendrir, sale, canard
leave: cause, place, poser, correct, seau
lose: cause, correct, poser, force, plier
make: correct, force, place, cause, route
produce: cause, prise, correct, seau, place
build: route, trace, correct, terrain, poser
mend: manger, mari, mousse, mou, moustache
improve: cause, correct, supporter, toit, attendre
alter: alterner, correct, changer, poser, orient
dig: poser, chant, lit, ramer, changer
bend: blessure, bord, battre, brouillard, bague
spin: charge, coin, pin, poser, force
turn: correct, cause, poser, place, chant
turn around: attendrir, cause, plier, attendre, canard
raise: correct, cause, force, place, route
lift: plier, poser, lit, altitude, force
seize: se taper, sept, seul, se passer, se lever
hold: cause, correct, poser, bout, plier
press: presser, poser, parents, filer, changer
push: correct, trace, force, route, message
scrape: sec, osciller, filer, envie, route
lick: poser, plier, chant, ton, rire
bite: face, plier, poser, prise, altitude
tear off: teindre, ruban, plier, jambe, fardeau
cut off: plier, offrir, canard, attendrir, large
tie: plier, tube, face, poser, prise
break: correct, poser, force, cause, face
knock: jeter, poser, ruban, renard, grimper
hit: poser, lit, chant, plier, cause
glue: glaise, glace, plume, tube, poser
rub: ruban, chant, vent, plier, poser
spread: correct, cause, force, plier, poser
grind: grain, gronder, gratter, gras, gris
cut: plier, correct, lit, vent, poser
jolt: jeter, joli, jouer, joue, journée
shake: plier, poser, face, tube, rame
pour: pourrir, pourquoi, voir, tout, jour
fill: correct, place, large, poser, orient
wrap: correct, poser, changer, plier, face
carry: cause, poser, correct, plier, force
drag: poser, force, correct, plier, place
pull: correct, poser, force, plier, changer
keep: correct, cause, force, poser, parents
throw: correct, poser, cause, force, place
catch: poser, cause, correct, place, changer
grab: poser, plier, changer, correct, chant
hide: place, poser, correct, changer, filer
divide: correct, place, distance, force, cause
send: correct, changer, filer, poser, force
bring: cause, bout, poser, correct, ours
add: correct, trace, route, force, changer
get: correct, force, place, changer, route
receive: cause, correct, place, prise, force
take: cause, correct, place, prise, seau
choose: correct, place, cause, force, poser
select: correct, changer, poser, place, filer
preserve: correct, route, trace, force, altitude
hinder: hiver, hurler, hôte, haleine, huit
spoil: poser, prier, papillon, pointu, blessure
destroy: correct, cause, poser, force, place
give: cause, place, correct, prise, force
promise: poser, route, roi, force, place
praise: précieux, préserver, poser, présent, préparer
kiss: jeter, poser, blessure, hiver, givre
rock: plier, poser, terrain, animal, tube
wake: poser, face, force, altitude, prise
guide: place, route, poser, seau, journal
teach: teindre, veine, peuple, chose, seau
instruct: instituteur, toit, correct, onze, supporter
bring up: attendrir, attendre, cause, boutique, sentir
lead: plier, charge, cause, tube, force
urge: cause, prise, seau, poser, force
let: lettre, trait, or, intelligent, importuner
invite: place, route, poser, filer, conversation
unite: un, unir, un peu, rire, seau
visit: bout, sale, place, seau, poser
meet: bout, poser, seau, cause, ours
assemble: poser, correct, changer, plier, place
play: poser, conversation, place, sale, bout
sing: chant, lit, poser, ours, seau
dance: poser, conversation, altitude, ski, face
separate: se taper, sept, seul, semaine, se passer
rescue: respirer, rires, poser, supporter, temps
guard: poser, plier, correct, seau, changer
protect: correct, cause, orient, poser, place
defend: correct, second, intelligent, large, cause
brawl: blessure, bord, battre, brouillard, bête
shoot: poser, plier, bout, cause, chant
win: pin, poser, filer, changer, correct
annoy: renard, poser, jeter, patron, jadis
beat: poser, plier, lit, combat, pain
kick: poser, plier, chant, rire, lit
sting: jeter, poser, blessure, renard, talon
shove: poser, hurler, jeter, blessure, moustache
steal: poser, filer, changer, seau, trace
disturb: poser, sentir, pointu, affiler, filer
bother: boire, bois, chose, poser, brochet
conceal: concevoir, conduire, construire, conserver, reconnaître
deceive: devenir, de nouveau, deux, de retour, seau
cheat: cheval, cheveu, chose, poser, cadeau
kill: poser, correct, cause, force, lit
dwell: duper, dix, dieu, dormir, doux
gather: poser, changer, conversation, place, filer
pick: poser, plier, chant, correct, lit
hunt: poser, chant, seau, plier, ramer
herd: herbe, noir, poser, grimper, menton
tie up: plier, attendrir, poser, sale, boutique
feed: poser, trace, correct, sale, force
chop: plier, poser, chant, chef, lit
ripen: rires, poser, seau, traire, rire
cook: poser, chef, plier, chant, orient
bake: blessure, bord, bête, bague, battre
fry: froid, fuir, faim, fleur, fille
stir: jeter, ruban, moustache, plier, renard
knit: crochet, poser, jeter, lit, talon
sew: sept, seul, se taper, se passer, se lever
dye: duper, dieu, dix, doux, dormir
wash: plier, poser, vent, ton, lit
wipe: face, poser, correct, force, trace
rinse: poser, ruban, renard, plier, rameau
sweep: sable, sot, svelte, sombre, sens
bath: bord, blessure, bague, battre, brouillard
take off: attendrir, attendre, offrir, boutique, cause
put on: attendrir, attendre, sentir, offrir, toit
get dressed: poser, attendrir, saveur, attendre, plier
decorate: large, sale, plier, poser, place
say: chant, bout, poser, cause, correct
speak: sot, sombre, sable, sang, sens
chat: chat, poser, conversation, changer, filer
ask: poser, correct, chef, bout, filer
request: message, route, filer, journal, correct
tell: cause, correct, poser, lit, bout
convey: conserver, concevoir, conduire, construire, sentir
brag: bruit, brume, briller, brut, branche
translate: route, poser, filer, journal, correct
think: cause, six, poser, conversation, lit
believe: blessure, attendrir, chose, menton, attendre
notice: place, poser, comment, cause, changer
recognize: cause, sentir, attendrir, toit, attendre
grasp: gronder, gras, grue, grain, gratter
understand: cause, correct, toit, canard, supporter
learn: correct, poser, conversation, roi, place
know: cause, bout, correct, ours, poser
remember: poser, cause, bout, correct, ours
forget: bout, cause, correct, poser, chant
measure: correct, cause, force, distance, place
calculate: correct, distance, force, charge, large
read: correct, place, poser, comment, changer
draw: correct, poser, force, trace, face
write: correct, trace, force, route, distance
own: correct, cause, poser, ours, second
buy: sale, large, plier, prix, cause
sell: sale, plier, large, poser, cause
pay for: attendre, attendrir, orner, boutique, supporter
pay: profit, payer, sale, cause, poser
rule: correct, force, cause, place, poser
endure: endroit, endommager, attendrir, attendre, cause
