eye: ו, ים, יד, הר, מה
be afraid of: ו, ים, בית, פה, הם
flee: ו, ים, יד, הר, מה
escape: ו, ים, יד, הר, מה
see: ו, ים, יד, הר, מה
look at: ו, ים, יד, נע, הר
watch: ו, ים, הר, יד, מה
hear: ו, ים, יד, הר, מה
listen: ו, ים, יד, הר, לה
taste: ו, ים, יד, הר, מה
smell: ו, ים, יד, הר, קו
feel: ו, ים, יד, הר, נע
seem: ו, הר, ים, יד, מה
show: ו, ים, יד, הר, לה
be cold: ו, ים, יד, הר, בא
do: ו, ים, יד, הר, מה
can: ו, ים, יד, הר, נע
want: ו, ים, יד, הר, נע
start: ו, ים, יד, הר, לה
finish: ו, ים, יד, הר, נע
succeed: ו, ים, יד, הר, נע
turn out: ו, ים, יד, נע, הר
close: ו, ים, יד, הר, מר
put: ו, יד, ים, הר, מת
lay: ו, ים, יד, הר, נע
touch: ו, ים, יד, הר, מה
connect: ו, ים, יד, הר, מת
hang up: ו, ים, יד, נע, הר
pick up: ו, ים, יד, הר, נע
leave: ו, ים, יד, הר, מה
lose: ו, ים, יד, הר, נע
make: ו, ים, יד, הר, מה
produce: ו, ים, יד, הר, נע
build: ו, ים, יד, הר, מת
mend: ו, ים, יד, מת, הר
improve: ו, ים, הר, יד, קו
alter: ו, יד, ים, הר, מה
dig: ו, ים, יד, הר, מה
bend: ו, ים, יד, הר, מת
spin: ו, ים, יד, הר, מת
turn: ו, ים, יד, הר, נע
turn around: ו, ים, יד, נע, הר
raise: ו, ים, יד, הר, מה
lift: ו, ים, יד, הר, נע
seize: ו, ים, הר, יד, מה
hold: ו, ים, יד, הר, נע
press: ו, ים, יד, הר, מת
push: ו, ים, יד, הר, לה
scrape: ו, הר, ים, יד, מת
lick: ו, ים, יד, הר, מה
bite: ו, ים, יד, הר, מה
tear off: ו, ים, רע, נע, הר
cut off: ו, ים, יד, נע, הר
tie: ו, ים, יד, הר, מה
break: ו, ים, יד, הר, מת
knock: ו, ים, הר, יד, מת
hit: ו, ים, יד, הר, נע
glue: ו, ים, הר, יד, מת
rub: ו, ים, יד, הר, מה
spread: ו, ים, יד, הר, נע
grind: ו, ים, יד, הר, קו
cut: ו, ים, יד, הר, מת
jolt: ו, ים, הר, יד, מת
shake: ו, ים, יד, הר, מה
pour: ו, ים, יד, הר, מר
fill: ו, ים, יד, הר, מת
wrap: ו, ים, יד, הר, מת
carry: ו, ים, יד, הר, נע
drag: ו, ים, יד, הר, נע
pull: ו, יד, ים, הר, מת
keep: ו, ים, יד, הר, מה
throw: ו, ים, יד, הר, מה
catch: ו, ים, יד, הר, מת
grab: ו, ים, יד, הר, נע
hide: ו, ים, יד, הר, לה
divide: ו, ים, יד, הר, מה
send: ו, ים, יד, הר, מה
bring: ו, ים, יד, הר, נע
add: ו, ים, יד, הר, מה
get: ו, ים, יד, הר, מה
receive: ו, יד, ים, הר, מה
take: ו, ים, יד, הר, מה
choose: ו, ים, יד, הר, מה
select: ו, ים, יד, הר, נע
preserve: ו, ים, יד, הר, מה
hinder: ו, ים, הר, יד, לה
spoil: ו, ים, יד, הר, מת
destroy: ו, ים, יד, הר, נע
give: ו, ים, יד, הר, נע
promise: ו, ים, יד, הר, נע
praise: ו, ים, הר, יד, מר
kiss: ו, ים, הר, יד, קו
rock: ו, ים, יד, הר, מה
wake: ו, ים, יד, הר, מה
guide: ו, ים, יד, הר, לה
teach: ו, ים, הר, יד, קו
instruct: ו, ים, הר, יד, קו
bring up: ו, ים, יד, נע, הר
lead: ו, ים, יד, הר, לה
urge: ו, ים, יד, הר, נע
let: ו, ים, יד, הר, נע
invite: ו, יד, ים, הר, נע
unite: ו, ים, הר, יד, מה
visit: ו, ים, הר, יד, מר
meet: ו, ים, יד, הר, מר
assemble: ו, ים, יד, הר, נע
play: ו, ים, הר, יד, נע
sing: ו, ים, יד, הר, מה
dance: ו, ים, יד, הר, מה
separate: ו, ים, הר, יד, קו
rescue: ו, ים, יד, הר, מת
guard: ו, ים, יד, הר, מת
protect: ו, ים, יד, הר, נע
defend: ו, ים, יד, הר, בא
brawl: ו, ים, הר, יד, בד
shoot: ו, ים, יד, הר, מת
win: ו, ים, יד, הר, מת
annoy: ו, ים, יד, הר, נע
beat: ו, ים, יד, הר, מה
kick: ו, ים, יד, הר, נע
sting: ו, ים, יד, הר, קו
shove: ו, ים, יד, הר, קו
steal: ו, יד, ים, הר, מת
disturb: ו, הר, יד, ים, מת
bother: ו, ים, יד, הר, נע
conceal: ו, ים, הר, קו, נע
deceive: ו, ים, הר, יד, מר
cheat: ו, ים, יד, הר, מה
kill: ו, ים, יד, הר, מה
dwell: ו, ים, הר, יד, מת
gather: ו, ים, יד, הר, נע
pick: ו, ים, יד, הר, מת
hunt: ו, ים, יד, הר, מת
herd: ו, ים, הר, יד, קו
tie up: ו, ים, יד, נע, הר
feed: ו, ים, יד, הר, מת
chop: ו, ים, יד, הר, מה
ripen: ו, ים, יד, הר, רע
cook: ו, ים, יד, הר, מה
bake: ו, ים, הר, יד, מת
fry: ו, ים, הר, קו, מת
stir: ו, ים, יד, הר, מת
knit: ו, ים, הר, יד, מת
sew: ו, ים, הר, יד, קו
dye: ו, ים, יד, הר, מת
wash: ו, ים, יד, הר, מת
wipe: ו, ים, יד, הר, מה
rinse: ו, ים, יד, הר, נע
sweep: ו, ים, יד, הר, מת
bath: ו, ים, הר, בא, יד
take off: ו, ים, יד, נע, הר
put on: ו, ים, יד, קו, הר
get dressed: ו, ים, יד, הר, נע
decorate: ו, ים, יד, הר, נע
say: ו, ים, יד, הר, מה
speak: ו, ים, הר, יד, מה
chat: ו, ים, יד, הר, מת
ask: ו, ים, יד, הר, מת
request: ו, יד, ים, הר, לה
tell: ו, ים, יד, הר, מה
convey: ו, יד, ים, הר, קו
brag: ו, ים, הר, יד, מר
translate: ו, ים, יד, הר, מה
think: ו, ים, יד, הר, מה
believe: ו, ים, יד, הר, מה
notice: ו, ים, יד, הר, נע
recognize: ו, יד, ים, הר, קו
grasp: ו, ים, יד, הר, קר
understand: ו, ים, הר, יד, קו
learn: ו, ים, יד, הר, לה
know: ו, ים, יד, הר, מה
remember: ו, ים, יד, הר, מה
forget: ו, ים, יד, הר, נע
measure: ו, ים, יד, הר, נע
calculate: ו, ים, יד, הר, לה
read: ו, ים, יד, הר, נע
draw: ו, ים, יד, הר, מת
write: ו, ים, יד, הר, מה
own: ו, ים, יד, הר, מה
buy: ו, ים, יד, הר, בית
sell: ו, ים, יד, הר, נע
pay for: ו, ים, יד, הר, קו
pay: ו, ים, יד, הר, מת
rule: ו, יד, ים, הר, מה
endure: ו, ים, יד, הר, נע
